Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
Jun 01 2018,7500.70,7604.73,7407.34,7541.45,4921460000,128014000000,7506.03
May 31 2018,7406.15,7608.90,7361.13,7494.17,5127130000,126386000000,7485.01
May 30 2018,7469.73,7573.77,7313.60,7406.52,4922540000,127454000000,7443.69
May 29 2018,7129.46,7526.42,7090.68,7472.59,5662660000,121636000000,7308.55
May 28 2018,7371.31,7419.05,7100.89,7135.99,5040600000,125748000000,7259.97
May 27 2018,7362.08,7381.74,7270.96,7368.22,4056520000,125575000000,7326.35
May 26 2018,7486.48,7595.16,7349.12,7355.88,4051540000,127682000000,7472.14
May 25 2018,7592.30,7659.14,7392.65,7480.14,4867830000,129470000000,7525.90
May 24 2018,7561.12,7738.60,7331.14,7587.34,6049220000,128925000000,7534.87
May 23 2018,8037.08,8054.66,7507.88,7557.82,6491120000,137024000000,7781.27
May 22 2018,8419.87,8423.25,8004.58,8041.78,5137010000,143534000000,8213.92
May 21 2018,8522.33,8557.52,8365.12,8418.99,5154990000,145264000000,8461.32
May 20 2018,8246.99,8562.41,8205.24,8513.25,5191060000,140556000000,8383.83
May 19 2018,8255.73,8372.06,8183.35,8247.18,4712400000,140689000000,8277.70
May 18 2018,8091.83,8274.12,7974.82,8250.97,5764190000,137881000000,8124.47
May 17 2018,8370.05,8445.54,8054.12,8094.32,5862530000,142608000000,8249.83
May 16 2018,8504.41,8508.43,8175.49,8368.83,6760220000,144878000000,8341.96
May 15 2018,8705.19,8836.19,8456.45,8510.38,6705710000,148283000000,8646.32
May 14 2018,8713.10,8881.12,8367.97,8716.79,7364150000,148403000000,8624.55
May 13 2018,8515.49,8773.55,8395.12,8723.94,5866380000,145022000000,8584.33
May 12 2018,8441.44,8664.86,8223.50,8504.89,6821380000,143743000000,8444.18
May 11 2018,9052.96,9052.96,8394.46,8441.49,8488520000,154142000000,8723.71
May 10 2018,9325.96,9396.04,9040.52,9043.94,6906700000,158772000000,9218.28
May 09 2018,9223.73,9374.76,9031.62,9325.18,7226890000,157013000000,9203.19
May 08 2018,9380.87,9462.75,9127.77,9234.82,7415870000,159672000000,9295.26
May 07 2018,9645.67,9665.85,9231.53,9373.01,7394020000,164161000000,9448.69
May 06 2018,9845.31,9940.14,9465.25,9654.80,7222280000,167541000000,9702.69
May 05 2018,9700.28,9964.50,9695.12,9858.15,7651940000,165055000000,9829.81
May 04 2018,9695.50,9779.20,9585.96,9700.76,8217830000,164956000000,9682.58
May 03 2018,9233.97,9798.33,9188.15,9743.86,10207300000,157087000000,9493.24
May 02 2018,9104.60,9256.52,9015.14,9235.92,7558160000,154869000000,9135.83
May 01 2018,9251.47,9255.88,8891.05,9119.01,7713020000,157350000000,9073.47
Apr 30 2018,9426.11,9477.14,9166.81,9240.55,8673920000,160302000000,9321.97
Apr 29 2018,9346.41,9531.49,9193.71,9419.08,8853000000,158928000000,9362.60
Apr 28 2018,8939.27,9412.09,8931.99,9348.48,7805480000,151991000000,9172.04
Apr 27 2018,9290.63,9375.47,8987.05,8987.05,7566290000,157948000000,9181.26
Apr 26 2018,8867.32,9281.51,8727.09,9281.51,8970560000,150736000000,9004.30
Apr 25 2018,9701.03,9745.32,8799.84,8845.74,11083100000,164893000000,9272.58
Apr 24 2018,8934.34,9732.61,8927.83,9697.50,10678800000,151844000000,9330.22
Apr 23 2018,8794.39,8958.55,8788.81,8930.88,6925190000,149448000000,8873.68
Apr 22 2018,8925.06,9001.64,8779.61,8802.46,6629900000,151651000000,8890.62
Apr 21 2018,8848.79,8997.57,8652.15,8895.58,7548550000,150337000000,8824.86
Apr 20 2018,8286.88,8880.23,8244.54,8845.83,8438110000,140777000000,8562.39
Apr 19 2018,8159.27,8298.69,8138.78,8294.31,7063210000,138591000000,8218.74
Apr 18 2018,7944.43,8197.80,7886.01,8163.42,6529910000,134926000000,8041.90
Apr 17 2018,8071.66,8285.96,7881.72,7902.09,6900880000,137070000000,8083.84
Apr 16 2018,8337.57,8371.15,7925.73,8058.67,5631310000,141571000000,8148.44
Apr 15 2018,7999.33,8338.42,7999.33,8329.11,5244480000,135812000000,8168.88
Apr 14 2018,7874.67,8140.71,7846.00,7986.24,5191430000,133682000000,7993.35
Apr 13 2018,7901.09,8183.96,7758.93,7895.96,7764460000,134114000000,7971.44
Apr 12 2018,6955.38,7899.23,6806.51,7889.25,8906250000,118048000000,7352.87
Apr 11 2018,6843.47,6968.32,6817.59,6968.32,4641890000,116126000000,6892.95
Apr 10 2018,6795.44,6872.41,6704.15,6834.76,4272750000,115306000000,6788.28
Apr 09 2018,7044.32,7178.11,6661.99,6770.73,4894060000,119516000000,6920.05
